"","state","start_date","end_date","sample_size","answer","pct","pollster","transparency_score","Per.Capita.Disposable.Income..ACS.","One.Year.Change.Unemployment.Rate..BLS.","X4.Year.Change.Unemployment..BLS.","Percentage.Below.the.Poverty.Level..ACS.","X2020.Electoral.Result","edu_expenditure","house_price","fivethirtyeight_dem","fivethirtyeight_rep","feelingtherm_dem","feelingtherm_rep","affectivepolarization","State.Ideology","Immig_feeling_avg","harris_disbursement","trump_disbursement","White_population","Nonwhite_population","Age","Male","Female","Religion_Evan"
"11","Alaska",2024-08-30,2024-09-01,400,"Harris",43.1,"Cygnal",4,65899,0,-1.4,0.1,-1,22253,301063,42.55,50,46.1358,44.80247,1.33333,0,1,12265,2500,0.6,0.31,34.6,0.52,0.48,0.18
"12","Alaska",2024-08-30,2024-09-01,400,"Trump",53,"Cygnal",4,65899,0,-1.4,0.1,-1,22253,301063,42.55,50,46.1358,44.80247,1.33333,0,1,12265,2500,0.6,0.31,34.6,0.52,0.48,0.18
"13","Alaska",2024-04-16,2024-04-23,250,"Biden",36,"Bullfinch",4,65899,0,-1.4,0.1,-1,22253,301063,42.55,50,46.1358,44.80247,1.33333,0,1,12265,2500,0.6,0.31,34.6,0.52,0.48,0.18
"14","Alaska",2024-04-16,2024-04-23,250,"Trump",55,"Bullfinch",4,65899,0,-1.4,0.1,-1,22253,301063,42.55,50,46.1358,44.80247,1.33333,0,1,12265,2500,0.6,0.31,34.6,0.52,0.48,0.18
"15","Alaska",2024-04-16,2024-04-23,250,"Biden",26,"Bullfinch",4,65899,0,-1.4,0.1,-1,22253,301063,42.55,50,46.1358,44.80247,1.33333,0,1,12265,2500,0.6,0.31,34.6,0.52,0.48,0.18
"16","Alaska",2024-04-16,2024-04-23,250,"Trump",49,"Bullfinch",4,65899,0,-1.4,0.1,-1,22253,301063,42.55,50,46.1358,44.80247,1.33333,0,1,12265,2500,0.6,0.31,34.6,0.52,0.48,0.18
"17","Alaska",2024-04-13,2024-04-21,248,"Biden",37.1,"John Zogby Strategies",5,65899,0,-1.4,0.1,-1,22253,301063,42.55,50,46.1358,44.80247,1.33333,0,1,12265,2500,0.6,0.31,34.6,0.52,0.48,0.18
"18","Alaska",2024-04-13,2024-04-21,248,"Trump",47.6,"John Zogby Strategies",5,65899,0,-1.4,0.1,-1,22253,301063,42.55,50,46.1358,44.80247,1.33333,0,1,12265,2500,0.6,0.31,34.6,0.52,0.48,0.18
"19","Alaska",2024-02-23,2024-03-02,1120,"Biden",41,"Data for Progress",6,65899,0,-1.4,0.1,-1,22253,301063,42.55,50,46.1358,44.80247,1.33333,0,1,12265,2500,0.6,0.31,34.6,0.52,0.48,0.18
"20","Alaska",2024-02-23,2024-03-02,1120,"Trump",53,"Data for Progress",6,65899,0,-1.4,0.1,-1,22253,301063,42.55,50,46.1358,44.80247,1.33333,0,1,12265,2500,0.6,0.31,34.6,0.52,0.48,0.18
"21","Alaska",2024-02-23,2024-03-02,1120,"Biden",41,"Data for Progress",6,65899,0,-1.4,0.1,-1,22253,301063,42.55,50,46.1358,44.80247,1.33333,0,1,12265,2500,0.6,0.31,34.6,0.52,0.48,0.18
"22","Alaska",2024-02-23,2024-03-02,1120,"Trump",53,"Data for Progress",6,65899,0,-1.4,0.1,-1,22253,301063,42.55,50,46.1358,44.80247,1.33333,0,1,12265,2500,0.6,0.31,34.6,0.52,0.48,0.18
"23","Alaska",2023-10-13,2023-10-18,1375,"Biden",37,"Alaska Survey Research",7,65899,0,-1.4,0.1,-1,22253,301063,42.55,50,46.1358,44.80247,1.33333,0,1,12265,2500,0.6,0.31,34.6,0.52,0.48,0.18
"24","Alaska",2023-10-13,2023-10-18,1375,"Trump",45,"Alaska Survey Research",7,65899,0,-1.4,0.1,-1,22253,301063,42.55,50,46.1358,44.80247,1.33333,0,1,12265,2500,0.6,0.31,34.6,0.52,0.48,0.18
"25","Alaska",2023-10-13,2023-10-18,1375,"Biden",29,"Alaska Survey Research",7,65899,0,-1.4,0.1,-1,22253,301063,42.55,50,46.1358,44.80247,1.33333,0,1,12265,2500,0.6,0.31,34.6,0.52,0.48,0.18
"26","Alaska",2023-10-13,2023-10-18,1375,"Trump",37,"Alaska Survey Research",7,65899,0,-1.4,0.1,-1,22253,301063,42.55,50,46.1358,44.80247,1.33333,0,1,12265,2500,0.6,0.31,34.6,0.52,0.48,0.18
"27","Alaska",2023-07-18,2023-07-21,1336,"Biden",36,"Alaska Survey Research",NA,65899,0,-1.4,0.1,-1,22253,301063,42.55,50,46.1358,44.80247,1.33333,0,1,12265,2500,0.6,0.31,34.6,0.52,0.48,0.18
"28","Alaska",2023-07-18,2023-07-21,1336,"Trump",43,"Alaska Survey Research",NA,65899,0,-1.4,0.1,-1,22253,301063,42.55,50,46.1358,44.80247,1.33333,0,1,12265,2500,0.6,0.31,34.6,0.52,0.48,0.18
"29","Arizona",2024-09-15,2024-09-18,868,"Harris",48.7,"Emerson",7,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"30","Arizona",2024-09-15,2024-09-18,868,"Trump",49.8,"Emerson",7,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"31","Arizona",2024-09-09,2024-09-18,862,"Harris",48.37,"Morning Consult",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"32","Arizona",2024-09-09,2024-09-18,862,"Trump",47.35,"Morning Consult",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"33","Arizona",2024-09-11,2024-09-12,1088,"Harris",45.5,"Trafalgar Group",4,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"34","Arizona",2024-09-11,2024-09-12,1088,"Trump",47.1,"Trafalgar Group",4,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"35","Arizona",2024-09-07,2024-09-09,550,"Harris",46,"Data Orbital",10,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"36","Arizona",2024-09-07,2024-09-09,550,"Trump",46.2,"Data Orbital",10,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"37","Arizona",2024-09-06,2024-09-09,765,"Harris",46,"Redfield & Wilton Strategies",9,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"38","Arizona",2024-09-06,2024-09-09,765,"Trump",47,"Redfield & Wilton Strategies",9,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"39","Arizona",2024-08-30,2024-09-08,901,"Harris",46.89,"Morning Consult",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"40","Arizona",2024-08-30,2024-09-08,901,"Trump",49.05,"Morning Consult",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"41","Arizona",2024-09-03,2024-09-05,1015,"Harris",46,"TIPP",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"42","Arizona",2024-09-03,2024-09-05,1015,"Trump",45.9,"TIPP",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"43","Arizona",2024-09-03,2024-09-05,949,"Harris",46.8,"TIPP",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"44","Arizona",2024-09-03,2024-09-05,949,"Trump",46.7,"TIPP",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"45","Arizona",2024-09-03,2024-09-05,1015,"Harris",45.8,"TIPP",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"46","Arizona",2024-09-03,2024-09-05,1015,"Trump",45.8,"TIPP",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"47","Arizona",2024-09-03,2024-09-05,949,"Harris",48,"TIPP",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"48","Arizona",2024-09-03,2024-09-05,949,"Trump",47.8,"TIPP",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"49","Arizona",2024-09-01,2024-09-03,804,"Harris",46.9,"Patriot Polling",5,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"50","Arizona",2024-09-01,2024-09-03,804,"Trump",48.5,"Patriot Polling",5,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"51","Arizona",2024-08-29,2024-08-31,800,"Harris",48.4,"InsiderAdvantage",5,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"52","Arizona",2024-08-29,2024-08-31,800,"Trump",48.6,"InsiderAdvantage",5,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"53","Arizona",2024-08-23,2024-08-29,682,"Harris",44,"CNN/SSRS",10,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"54","Arizona",2024-08-23,2024-08-29,682,"Trump",49,"CNN/SSRS",10,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"55","Arizona",2024-08-25,2024-08-28,720,"Harris",47.5,"Emerson",7,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"56","Arizona",2024-08-25,2024-08-28,720,"Trump",51.2,"Emerson",7,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"57","Arizona",2024-08-25,2024-08-28,530,"Harris",45,"Redfield & Wilton Strategies",9,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"58","Arizona",2024-08-25,2024-08-28,530,"Trump",46,"Redfield & Wilton Strategies",9,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"59","Arizona",2024-08-23,2024-08-27,805,"Harris",49,"Morning Consult",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"60","Arizona",2024-08-23,2024-08-27,805,"Trump",47,"Morning Consult",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"61","Arizona",2024-08-23,2024-08-27,805,"Harris",48,"Morning Consult",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"62","Arizona",2024-08-23,2024-08-27,805,"Trump",48,"Morning Consult",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"63","Arizona",2024-08-23,2024-08-27,776,"Harris",49,"Morning Consult",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"64","Arizona",2024-08-23,2024-08-27,776,"Trump",47,"Morning Consult",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"65","Arizona",2024-08-23,2024-08-27,776,"Harris",48,"Morning Consult",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"66","Arizona",2024-08-23,2024-08-27,776,"Trump",48,"Morning Consult",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"67","Arizona",2024-08-23,2024-08-26,1014,"Harris",48,"Beacon/Shaw",9,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"68","Arizona",2024-08-23,2024-08-26,1014,"Trump",47,"Beacon/Shaw",9,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"69","Arizona",2024-08-23,2024-08-26,1014,"Harris",50,"Beacon/Shaw",9,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"70","Arizona",2024-08-23,2024-08-26,1014,"Trump",49,"Beacon/Shaw",9,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"71","Arizona",2024-08-14,2024-08-20,600,"Harris",47.6,"Spry Strategies",4,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"72","Arizona",2024-08-14,2024-08-20,600,"Trump",48.7,"Spry Strategies",4,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"73","Arizona",2024-08-14,2024-08-20,600,"Harris",46.1,"Spry Strategies",4,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"74","Arizona",2024-08-14,2024-08-20,600,"Trump",46.4,"Spry Strategies",4,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"75","Arizona",2024-08-12,2024-08-16,1003,"Harris",44,"Noble Predictive Insights",6,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"76","Arizona",2024-08-12,2024-08-16,1003,"Trump",47,"Noble Predictive Insights",6,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"77","Arizona",2024-08-12,2024-08-16,1003,"Harris",43,"Noble Predictive Insights",6,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"78","Arizona",2024-08-12,2024-08-16,1003,"Trump",44,"Noble Predictive Insights",6,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"79","Arizona",2024-08-06,2024-08-16,702,"Harris",48.6,"Focaldata",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"80","Arizona",2024-08-06,2024-08-16,702,"Trump",51.4,"Focaldata",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"81","Arizona",2024-08-06,2024-08-16,702,"Harris",42,"Focaldata",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"82","Arizona",2024-08-06,2024-08-16,702,"Trump",46,"Focaldata",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"83","Arizona",2024-08-06,2024-08-16,NA,"Harris",45,"Focaldata",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"84","Arizona",2024-08-06,2024-08-16,NA,"Trump",45,"Focaldata",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"85","Arizona",2024-08-06,2024-08-16,702,"Harris",44.9,"Focaldata",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"86","Arizona",2024-08-06,2024-08-16,702,"Trump",45.9,"Focaldata",3,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"87","Arizona",2024-08-12,2024-08-15,592,"Harris",43,"Redfield & Wilton Strategies",9,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"88","Arizona",2024-08-12,2024-08-15,592,"Trump",44,"Redfield & Wilton Strategies",9,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"89","Arizona",2024-08-08,2024-08-15,677,"Harris",49,"Siena/NYT",9,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"90","Arizona",2024-08-08,2024-08-15,677,"Trump",45,"Siena/NYT",9,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"91","Arizona",2024-08-08,2024-08-15,677,"Harris",50,"Siena/NYT",9,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"92","Arizona",2024-08-08,2024-08-15,677,"Trump",45,"Siena/NYT",9,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"93","Arizona",2024-08-08,2024-08-15,677,"Harris",45,"Siena/NYT",9,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"94","Arizona",2024-08-08,2024-08-15,677,"Trump",42,"Siena/NYT",9,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"95","Arizona",2024-08-08,2024-08-15,677,"Harris",47,"Siena/NYT",9,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"96","Arizona",2024-08-08,2024-08-15,677,"Trump",43,"Siena/NYT",9,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"97","Arizona",2024-08-07,2024-08-14,400,"Harris",47,"Strategies 360",5,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"98","Arizona",2024-08-07,2024-08-14,400,"Trump",46,"Strategies 360",5,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"99","Arizona",2024-08-06,2024-08-08,1092,"Harris",46.5,"Trafalgar Group",4,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
"100","Arizona",2024-08-06,2024-08-08,1092,"Trump",47.7,"Trafalgar Group",4,55333,0.1,-0.9,0.12,1,10899,388545,46.1992157,46.6235294,44.77895,45.49263,-0.71368,1,1.34615385,288926.8,193009.03,0.54,0.43,37.9,0.5,0.5,0.11
